,dataset,cluster,dist_metric,inside_avg,outside_avg,out/in ratio,cluster_size
137,harris,39,0.4,232.23333808695307,427.2097356588801,1.8395710933583693,35
138,harris,40,0.4,323.8008181269656,319.7164481976552,0.9873861655046564,69
139,harris,41,0.4,204.02508979873113,316.5812893028544,1.5516782255317663,61
140,harris,42,0.4,268.53332692807305,353.35214494760623,1.3158595582523431,171
141,harris,43,0.4,245.80441421423728,382.58986738948147,1.5564808655389941,85
142,harris,44,0.4,204.0930645850975,322.9326339260291,1.582281272430896,264
143,harris,45,0.4,229.34999892108763,289.85984185943744,1.2638318867364347,158
144,harris,46,0.4,284.4448060851813,338.49704916371417,1.1900271754737053,93
145,harris,47,0.4,1010.3994870753608,1122.8857526189825,1.111328506182458,18
146,harris,48,0.4,448.9790792324232,362.50288932030304,0.8073937207498393,56
147,harris,0,1.0,0.7250961685435706,1.2632117047764422,1.742129885079563,270
148,harris,1,1.0,0.7704913357152805,1.2129474630180541,1.574251917955732,86
149,harris,2,1.0,1.110086005960476,1.6902555516767601,1.5226347711809103,47
150,harris,3,1.0,1.1484249228904884,1.6523215800337345,1.438771962450084,85
151,harris,4,1.0,0.9820469960260996,1.3761344630412344,1.401291861397498,106
152,harris,5,1.0,0.8059699939189603,1.489543296291046,1.8481374089974105,25
153,harris,6,1.0,1.0439078031354958,1.3669307222361486,1.3094362530200625,50
154,harris,7,1.0,0.7712402442365334,1.160575183321639,1.5048166793610676,51
155,harris,8,1.0,1.0032235168758292,1.1620671492268657,1.1583332424719235,50
156,harris,9,1.0,1.0940352168891958,1.3422425667796152,1.2268732725041318,121
157,harris,10,1.0,0.834417913344178,1.1364120222173268,1.361921890749945,101
158,harris,11,1.0,0.8500138333812817,1.4753348722344852,1.7356598378707915,60
159,harris,12,1.0,0.7853507906139232,1.5029766026888014,1.913764677710322,31
160,harris,13,1.0,0.6606542135307236,1.331011470378385,2.0146870225273856,72
161,harris,14,1.0,0.5883225186231459,1.2798596147527241,2.1754387674093896,48
162,harris,15,1.0,0.9675880009999493,1.4618170653034364,1.5107846147252015,36
163,harris,16,1.0,1.4089450328067075,1.8979758188174092,1.3470900387338187,118
164,harris,17,1.0,0.5590330803847221,1.4776548795095352,2.6432333458560717,119
165,harris,18,1.0,1.130135260530849,1.5173858807604708,1.3426586478221392,72
